"","maybegood.x","maybegood.y"
"24",37.796,32.8071
"27",37.8758,32.68735
"29",37.95565,32.6075
"31",38.0355,32.5277
"33",38.1153,32.4479
"35",38.1951,32.36805
"38",38.2749,32.2882
"40",38.35475,32.2084
"42",38.4346,32.1286
"44",38.5144,32.0488
"51",38.9933,32.1286
"49",38.8736,32.0488
"47",38.71395,31.96895
"45",38.5942,31.76935
"43",38.5144,31.5299
"41",38.4346,31.29045
"39",38.35475,30.97115
"37",38.2749,30.6918
"34",38.1951,30.49225
"32",38.1153,30.3725
"30",38.0355,30.2927
"28",37.95565,30.21285
"26",37.8758,30.133
"23",37.796,30.0532
"22",37.7162,29.9734
"20",37.63635,29.89355
"19",37.5565,29.8137
"17",37.4767,29.7339
"16",37.3969,29.6142
"14",37.31705,29.49445
"12",37.2372,29.4146
"10",37.1574,29.3348
"8",37.0776,29.21505
"6",36.9978,29.0953
"4",36.91795,28.9756
"3",36.8381,28.81595
"1",36.7583,28.6962
"2",36.8381,28.5765
"5",36.95785,28.45675
"7",37.0776,28.3769
"9",37.1574,28.2971
"11",37.2372,28.2173
"13",37.31705,28.1375
"15",37.3969,28.05765
"18",37.5166,27.9778
"21",37.67625,27.898
"25",37.8359,27.8182
"36",38.2749,27.73835
"46",38.71395,27.8182
"48",38.8736,27.898
"50",38.9933,27.9778
"52",39.07315,28.05765
"53",39.153,28.1375
"54",39.2328,28.2173
"55",39.3126,28.2971
"56",39.39245,28.41685
"57",39.4723,28.5765
"58",39.5521,28.6962
"59",39.6319,28.81595
"60",39.7117,28.9357
"61",39.79155,29.0155
"62",39.8714,29.0953
"63",39.9512,29.17515
"64",40.031,29.255
"65",40.11085,29.3348
"66",40.2306,29.4146
"67",40.39025,29.49445
"68",40.5898,29.5743
"69",40.78935,29.6541
"70",40.9889,29.7339
"71",41.18845,29.8137
"72",41.3481,29.89355
"73",41.4678,29.9734
"74",41.54765,30.0532
"75",41.6275,30.133
"76",41.7073,30.21285
"77",41.7871,30.2927
"78",41.86695,30.3725
"79",41.9468,30.4523
"80",42.0266,30.53215
"81",42.1064,30.612
"82",42.1862,30.7317
"83",42.26605,30.8514
"84",42.3459,30.93125
"85",42.4257,31.0111
"86",42.5055,31.0909
"87",42.58535,31.1707
"88",42.6652,31.25055
"89",42.745,31.3304
"90",42.8248,31.4501
"91",42.90465,31.5698
"93",42.9845,31.64965
"96",43.0643,31.7295
"99",43.1441,31.8093
"103",43.2239,31.96895
"108",43.30375,32.56765
"104",43.2239,33.1264
"100",43.1441,33.5255
"105",43.2239,33.9645
"109",43.30375,34.16405
"112",43.3836,34.3237
"115",43.4634,34.48335
"117",43.5432,34.6031
"120",43.62305,34.9224
"118",43.5432,35.2417
"114",43.4235,35.3215
"110",43.30375,35.44125
"106",43.2239,35.6009
"101",43.1441,35.7605
"97",43.0643,35.99995
"94",42.9845,36.31925
"122",43.7029,35.2417
"125",43.8226,35.3215
"127",43.9423,35.4013
"129",44.02215,35.48115
"132",44.1419,35.561
"134",44.2616,35.6408
"137",44.5011,35.561
"136",44.34145,35.7605
"135",44.2616,35.99995
"133",44.1818,36.27935
"131",44.102,36.439
"130",44.02215,36.59865
"128",43.9423,36.83815
"126",43.8625,37.0377
"124",43.7827,37.1973
"123",43.7029,37.39685
"121",43.62305,37.5565
"119",43.5432,37.67625
"116",43.4634,37.8359
"113",43.3836,37.99555
"111",43.30375,38.1153
"107",43.2239,38.1951
"102",43.1441,38.31485
"98",43.0643,38.4346
"95",42.9845,38.5144
"92",42.90465,38.5942
